id,question,correct_answer,incorrect_answers,explanation,as_first
10002,Which vitamin is the only one not found in eggs?,Vitamin C,"[""Vitamin D"",""Vitamin B12"",""Vitamin A""]","Eggs contain all vitamins except vitamin C, making them one of nature's most nutritionally complete foods.",1
10004,Which common vegetable was often purple before orange varieties became widespread?,Carrot,"[""Parsnip"",""Turnip"",""Radish""]","Early cultivated carrots were often purple, yellow, or white rather than orange. Orange varieties became widespread later, especially after selective breeding in Europe.",1
10005,What instrument uses 4-km-long laser arms so sensitive that a passing gravitational wave stretches them less than one ten-thousandth of a proton's width?,LIGO's laser interferometers,"[""The Fermi gamma-ray telescope"",""The Very Large Array radio dishes"",""The Gaia star mapper""]","LIGO splits laser beams down vacuum tunnels and recombines them; when spacetime ripples pass, the beams fall out of sync by an unimaginably tiny distance. That phase shift enabled the first direct detection of gravitational waves, recorded in 2015 and announced in 2016. It's a giant ruler tuned to cosmic whisper-level tremors.",0
10014,Why does Earth's daytime sky appear blue to human eyes?,Air molecules scatter short blue wavelengths of sunlight more strongly (Rayleigh scattering),"[""Oxygen in the air is naturally blue-coloured"",""The oceans reflect their colour into the sky"",""Dust filters out all colours except blue""]","Sunlight contains all visible wavelengths of light. When sunlight enters Earth's atmosphere, gas molecules scatter shorter blue wavelengths more efficiently than longer red wavelengths, a phenomenon known as Rayleigh scattering. When you look up during the day, you observe this scattered blue light coming from all directions across the sky. This well-understood physical process is responsible for the blue appearance of our daytime sky.",0
10017,Why does bread go stale faster in the refrigerator?,Cold speeds up starch crystallization,"[""Fridges remove all moisture instantly"",""Bread absorbs onion smells and dries out"",""Cold makes yeast keep fermenting""]",Bread staling is largely a texture change as starches re-crystallize. That process happens faster at typical fridge temperatures than at room temperature.,1
10022,What usually happens to astronauts' height during time in space?,They can temporarily grow up to about 2 inches taller,"[""They shrink slightly because bones compress"",""Their height stays exactly the same"",""They permanently grow several inches""]","In microgravity, the spine is not compressed as much as it is on Earth, so astronauts can temporarily gain a few centimeters in height. The effect usually reverses after they return to normal gravity.",1
10031,Why do you see stars when you rub your eyes?,Pressure stimulates light-detecting cells (phosphenes),"[""Temporary retinal detachment"",""Blood pressure spike to brain"",""Electrical discharge from friction""]","Physical pressure on the eyeball can mechanically stimulate retinal cells. Your brain interprets that activity as light, creating phosphenes even though no real light entered the eye.",1
10036,What causes the 'old book smell'?,Breakdown of cellulose and lignin releasing organic compounds,"[""Mold and mildew growth"",""Ink oxidation"",""Dust accumulation""]","Aging paper releases over 200 volatile organic compounds, including vanilla-scented vanillin, creating the distinctive aroma.",0
10042,What causes the Northern and Southern Lights to be different colors?,Different atmospheric gases at different altitudes,"[""Different charged particles from the Sun"",""Earth's magnetic field orientation"",""Distance from the poles""]",Aurora colors depend on which gas solar particles hit and altitude. Green (most common): oxygen at 60-150 miles up. Red: oxygen above 150 miles. Blue/purple: nitrogen below 60 miles. Pink: nitrogen + oxygen. Altitude matters more than particle type!,0
10044,What causes some ocean waves to glow an eerie blue-green when disturbed at night?,Bioluminescent plankton emitting light when stirred,"[""Phosphorescent minerals dissolved in the water"",""Reflections of distant city lights"",""Tiny pieces of glowing plastic waste""]","Many glowing shorelines are caused by bioluminescent dinoflagellates, microscopic plankton that emit light when mechanically disturbed by waves or swimmers. These organisms use a chemical reaction similar to fireflies, converting mechanical stimulation into brief flashes of light through a process called bioluminescence. This phenomenon creates a striking visual effect when entire waves appear to glow, revealing the presence of millions of these single-celled organisms.",0
